url,description
https://bulkbookstore.com/neverwhere-a-novel-9780060557812,"Richard Mayhew is a young man with a good heart and an ordinary life, which is changed forever when he stops to help a girl he finds bleeding on a London sidewalk. His small act of kindness propels him into a world he never dreamed existed. There are people who fall through the cracks, and Richard has become one of them. And he must learn to survive in this city of shadows and darkness, monsters and saints, murderers and angels, if he is ever to return to the London that he knew."
https://bulkbookstore.com/a-year-with-c-s-lewis-daily-readings-from-his-classic-works-9780060566166,"The classic A Year with C.S. Lewis is an intimate day-to-day companion by C.S. Lewis, the most important Christian writer of the 20th century. The daily meditations have been culled from Lewis’ celebrated signature classics: Mere Christianity, The Screwtape Letters, The Great Divorce, The Problem of Pain, Miracles, and A Grief Observed, as well as from the distinguished works The Weight of Glory and The Abolition of Man. Ruminating on such themes as the nature of love, the existence of miracles, overcoming a devastating loss, and discovering a profound Christian faith, A Year with C.S. Lewis offers unflinchingly honest insight for each day of the year."
https://bulkbookstore.com/kennys-window-9780064432092,1956 Children's Spring Book Festival Honor Book (NY Herald Tribune)
https://bulkbookstore.com/the-frog-and-toad-collection-box-set-9780060580865,Three beloved Frog and Toad books in a paperback slipcase
https://bulkbookstore.com/the-duke-and-i-9780380800827,"Simon Basset, the irresistible Duke of Hastings, has hatched a plan to keep himself free from the town′s marriage-minded society mothers. He pretends to be engaged to the lovely Daphne Bridgerton. After all, it isn′t as if the brooding rogue has any real plans to marry - though there is something about the alluring Miss Bridgerton that sets Simon′s heart beating a bit faster. And as for Daphne, surely the clever debutante will attract some very worthy suitors now that it seems a duke has declared her desirable. But as Daphne waltzes across ballroom after ballroom with Simon, she soon forgets that their courtship is a complete sham. And now she has to do the impossible and keep herself from losing her heart and soul completely to the handsome hell-raiser who has sworn off marriage forever!"
https://bulkbookstore.com/i-stink-board-book-9780060745929,"For fans of Goodnight, Goodnight, Construction Site and Steam Train, Dream Train comes a noisy addition to the hilarious read-aloud series from Kate and Jim McMullan, the popular creators of I’m Bad! and I’m Dirty! Now a streaming animated series!"
https://bulkbookstore.com/unlocking-the-air-stories-9780060928032,"This collection of mainstream stories, written from the early eighties to the mid-nineties, is a stunning example of the virtuosity of the legendary Ursula K. Le Guin. Diffusing the traditional boundaries of realism, magical realism, and surrealism, Le Guin finds the detail that reveals the strange in everyday life, or the unexpected depths of an ordinary person. Written with wit, zest, and a passionate sense of human frailty and toughness, Unlocking the Air is superb fiction by a beloved storyteller at the height of her power."
https://bulkbookstore.com/the-compass-rose-stories-9780060914479,"North to Orsinia and the boundaries between reality and madness ... South to discover Antarctica with nine South American women ... West to find an enchanted harp and the borderland between life and death ... and onward to all points on and off the compass. Twenty astonishing stories from acclaimed author Ursula K. Le Guin carry us to worlds of wonder and horror, desire and destiny, enchantment and doom."
https://bulkbookstore.com/mollys-pilgrim-9780688162801,
https://bulkbookstore.com/little-critter-snowball-soup-9780060835439,"Join Mercer Mayer's classic and beloved character, Little Critter®, on a snowy day full of fun in this My First I Can Read book!"
https://bulkbookstore.com/on-market-street-25th-anniversary-edition-9780688087456,Have you ever seen a man dressed entirely in playing cards? Or a girl wearing a lollipop dress? Then take a stroll through a most unusual market in this Caldecott Honor Book created by Anita Lobel and Arnold Lobel.
https://bulkbookstore.com/good-omens-the-nice-and-accurate-prophecies-of-agnes-nutter-witch-9780060853976,"The classic collaboration from the international bestselling authors, now available in a keepsake hardcover edition. . . . “The Apocalypse has never been funnier.”—Clive Barker

Readers around the world have embraced the brilliance of Neil Gaiman and Terry Pratchett. Now, 15 years after it was first published, their classic comic novel of the endtimes—the only collaborative effort of these two masters—is available in a special collector’s edition sure to attract the attention of devoted fans and new readers alike."
https://bulkbookstore.com/the-light-fantastic-a-discworld-novel-9780060855888,"Terry Pratchett's profoundly irreverent, bestselling novels have garnered him a revered position in the halls of parody next to the likes of Mark Twain, Kurt Vonnegut, Douglas Adams, and Carl Hiaasen."
https://bulkbookstore.com/seekers-2-great-bear-lake-9780060871253,"The second book in a thrilling animal fantasy series following the epic journey of three bears, from the #1 nationally bestselling author of Warriors."
https://bulkbookstore.com/perfect-spy-the-incredible-double-life-of-pham-xuan-an-time-magazine-reporter-and-vietnamese-communist-agent-9780060888398,"During the Vietnam War, Time reporter Pham Xuan An befriended everyone who was anyone in Saigon, including American journalists such as David Halberstam and Neil Sheehan, the CIA's William Colby, and the legendary Colonel Edward Lansdale—not to mention the most influential members of the South Vietnamese government and army. None of them ever guessed that he was also providing strategic intelligence to Hanoi, smuggling invisible ink messages into the jungle inside egg rolls. His early reports were so accurate that General Giap joked, ""We are now in the U.S. war room."""
https://bulkbookstore.com/little-big-9780061120053,
https://bulkbookstore.com/promise-not-to-tell-a-novel-9780061143311,New York Times bestselling author Jennifer McMahon's explosive debut
https://bulkbookstore.com/mac-and-cheese-9780061170812,"Written in the style of P. D. Eastman’s classic Big Dog . . . Little Dog, this modern-day alley-cat odd couple will delight beginning readers."
https://bulkbookstore.com/stardust-9780380804559,"This book title, Stardust, ISBN: 9780380804559, by Neil Gaiman, published by HarperCollins (July 31, 2007) is available in paperback. Our minimum order quantity is 25 copies. All standard bulk book orders ship FREE in the continental USA and delivered in 4-10 business days."
https://bulkbookstore.com/collins-latin-concise-dictionary-9780060536909,A New Look at Language!
https://bulkbookstore.com/johnny-hangtime-9780380810123,"It's a bird, It's a plane--no, It's Johnny Hangtime!"
https://bulkbookstore.com/tales-of-the-city-a-novel-9780061358302,A PBS Great American Read Top 100 Pick
https://bulkbookstore.com/flat-stanleys-worldwide-adventures-1-the-mount-rushmore-calamity-9780061429903,There’s no place on Earth a flat kid can’t go! Join Stanley on his very first adventure in the renowed Flat Stanley's Worldwide Adventures series!
https://bulkbookstore.com/flat-stanleys-worldwide-adventures-2-the-great-egyptian-grave-robbery-9780061429927,There’s no place on Earth a flat kid can’t go! Join Stanley in his second exciting adventure in the renowned Flat Stanley's Worldwide Adventures series!
https://bulkbookstore.com/flat-stanleys-worldwide-adventures-6-the-african-safari-discovery-9780061430015,There's no place on Earth a flat kid can't go!
https://bulkbookstore.com/how-to-paint-a-dead-man-a-novel-9780061430459,"From Sarah Hall, the acclaimed, award-winning author of Daughters of the North and The Electric Michelangelo comes the Harper Perennial paperback original novel How to Paint a Dead Man, a daringly imaginative tale in which multiple lives are woven together through the prism of a still life painting. Moving from Italy to England, spanning nearly half a century, and bringing together the lives of four disparate characters, How to Paint a Dead Man is Hall’s fierce and brilliant study of art and its place in our lives."
https://bulkbookstore.com/danny-and-the-dinosaur-50th-anniversary-box-set-9780061430831,"Danny loves dinosaurs. When he sees one at the museun and says, ""It would be nice to play with a dinosaur,"" a voice answers, ""And I think it would be nice to play with you."" So begins Dannys and the dinosaur's wonderful adventure together!"
https://bulkbookstore.com/the-cheese-monkeys-a-novel-in-two-semesters-9780061452482,"After 15 years of designing more than 1,500 book jackets at Knopf for such authors as Anne Rice and Michael Chrichton, Kidd has crafted an affecting an entertaining novel set at a state university in the late 1950s that is both slap-happily funny and heartbreakingly sad. The Cheese Monkeys is a college novel that takes place over a tightly written two semesters. The book is set in the late 1950s at State U, where the young narrator, has decided to major in art, much to his parents’ dismay. It is an autobiographical, coming-of-age novel which tells universally appealing stories of maturity, finding a calling in life, and being inspired by a loving, demanding, and highly eccentric teacher."
https://bulkbookstore.com/evidence-of-the-afterlife-the-science-of-near-death-experiences-9780061452574,"This book title, Evidence of the Afterlife (The Science of Near-Death Experiences), ISBN: 9780061452574, by Jeffrey Long, Paul Perry, published by HarperCollins (January 4, 2011) is available in paperback. Our minimum order quantity is 25 copies. All standard bulk book orders ship FREE in the continental USA and delivered in 4-10 business days."
https://bulkbookstore.com/are-you-smarter-than-a-fifth-grader-the-play-at-home-companion-book-to-the-hit-tv-show-9780061473067,"So you think you're smarter than a fifth grader? Well, as many contestants have already discovered on the smash hit TV show hosted by Jeff Foxworthy, you may have either forgotten more than you realize about ""the three R's"" or simply never learned in the first place! How much do you really know about third grade math? Fourth grade social studies? Fifth grade science? First grade spelling?"
https://bulkbookstore.com/scared-of-santa-scenes-of-terror-in-toyland-9780061490996,
https://bulkbookstore.com/the-pillars-of-the-earth-9780688046590,"Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known."
https://bulkbookstore.com/letting-go-fifth-edition-a-parents-guide-to-understanding-the-college-years-9780061665738,The sixth edition of this classic parents’ guide and college orientation staple has been thoroughly revised and updated to reflect the realities of college today. 
https://bulkbookstore.com/gideon-a-novel-9780061687372,
https://bulkbookstore.com/warriors-ravenpaws-path-1-shattered-peace-9780061688652,A graphic novel adventure from the world of Erin Hunter’s #1 nationally bestselling Warriors series!
https://bulkbookstore.com/dont-breathe-a-word-a-novel-9780061689376,"“Don’t Breathe a Word is a haunting page-turner that kept me up, spine shivering and enthralled, way past my bedtime.”
—Joshilyn Jackson, author of Gods in Alabama and Backseat Saints"
https://bulkbookstore.com/what-looks-like-crazy-on-an-ordinary-day-9780061710384,
https://bulkbookstore.com/the-dressmaker-of-khair-khana-five-sisters-one-remarkable-family-and-the-woman-who-risked-everything-to-keep-them-safe-9780061732478,"The New York Times bestseller, written by a former reporter for ABC News, that People magazine called “a transporting, enlightening book” tells the story of a fearless young entrepreneur who brought hope to the lives of dozens of women in war-torn Afghanistan."
https://bulkbookstore.com/silly-street-selected-poems-9780061765285,"When you take a trip to Silly Street, don't forget to bring your sense of humor! From balloon rides to crows that chew bubble gum, you'll wish you could stay forever!"
https://bulkbookstore.com/the-hotel-on-place-vendome-life-death-and-betrayal-at-the-hotel-ritz-in-paris-9780061791048,"Set against the backdrop of the Nazi occupation of World War II, The Hôtel on Place Vendôme is the captivating history of Paris’s world-famous Hôtel Ritz—a breathtaking tale of glamour, opulence, and celebrity; dangerous liaisons, espionage, and resistance—from Tilar J. Manzeo, the New York Times bestselling author of The Widow Clicquot and The Secret of Chanel No. 5"
https://bulkbookstore.com/c-s-lewis-signature-classics-boxed-set-9780060653026,"A beautiful compilation of inspirational writings, featuring six classic works in one box set:"
https://bulkbookstore.com/to-sir-phillip-with-love-9780380820856,"Sir Phillip knew that Eloise Bridgerton was a spinster, and so he'd proposed, figuring that she'd be homely and unassuming, and more than a little desperate for an offer of marriage. Except . . . she wasn't. The beautiful woman on his doorstep was anything but quiet, and when she stopped talking long enough to close her mouth, all he wanted to do was kiss her . . . and more."
https://bulkbookstore.com/superman-classic-superman-versus-mongul-9780061885181,
https://bulkbookstore.com/the-price-of-love-and-other-stories-lp-9780061885006,"This book title, The Price of Love and Other Stories, ISBN: 9780061885006, by Peter Robinson, published by HarperCollins (September 29, 2009) is available in paperback. Our minimum order quantity is 25 copies. All standard bulk book orders ship FREE in the continental USA and delivered in 4-10 business days."
https://bulkbookstore.com/the-food52-cookbook-volume-2-seasonal-recipes-from-our-kitchens-to-yours-9780061887291,
https://bulkbookstore.com/pete-the-cat-rocking-in-my-school-shoes-9780061910241,Time to head back to school with this bestselling groovy Pete the Cat book!
https://bulkbookstore.com/pirate-latitudes-9780061929380,“Crichton’s ultimate adventure.”
https://bulkbookstore.com/pirate-latitudes-lp-a-novel-9780061929403,“Crichton’s ultimate adventure.”
https://bulkbookstore.com/the-black-hand-the-bloody-rise-and-redemption-of-boxer-enriquez-a-mexican-mob-killer-9780061944185,"THE BLACK HAND is the true story of Rene Enriquez, aka ""Boxer,"" and his rise in a secret criminal organization, a new Mafia, that already has a grip on all organized crime in California and soon all of the United States. This Mafia is using a base army of an estimated 60,000 heavily armed, loyal Latino gang members, called Surenos, driven by fear and illicit profits. They are the most dangerous gang in American history and they wave the flag of the Black Hand."
https://bulkbookstore.com/orphan-train-a-novel-9780061950704,#1 New York Times Bestseller
https://bulkbookstore.com/everything-goes-123-beep-beep-beep-a-counting-book-9780061958120,Vroom!
https://bulkbookstore.com/be-love-now-the-path-of-the-heart-9780061961380,
https://bulkbookstore.com/the-thyroid-diet-revolution-manage-your-master-gland-of-metabolism-for-lasting-weight-loss-9780061987472,"This book title, The Thyroid Diet Revolution (Manage Your Master Gland of Metabolism for Lasting Weight Loss), ISBN: 9780061987472, by Mary J. Shomon, published by HarperCollins (January 3, 2012) is available in paperback. Our minimum order quantity is 25 copies. All standard bulk book orders ship FREE in the continental USA and delivered in 4-10 business days."
https://bulkbookstore.com/collins-french-concise-5th-edition-9780061998638,"This book title, Collins French Concise, 5th Edition, ISBN: 9780061998638, by HarperCollins Publishers Ltd., published by HarperCollins (June 15, 2010) is available in paperback. Our minimum order quantity is 25 copies. All standard bulk book orders ship FREE in the continental USA and delivered in 4-10 business days."
https://bulkbookstore.com/bad-boy-lp-an-inspector-banks-novel-9780062002150,"“Brilliant! With Bad Boy, author Robinson once again achieves the high bar he’s set in all his previous Inspector Banks books…This one will stay with you for a long time.”
—Jeffery Deaver, New York Times bestselling author of Roadside Crosses"
https://bulkbookstore.com/13-little-blue-envelopes-9780060541439,"Inside little blue envelope 1 are $1,000 and instructions to buy a plane ticket."
https://bulkbookstore.com/insurgent-9780062024053,One choice can destroy you. Veronica Roth's second #1 New York Times bestseller continues the dystopian thrill ride that began in Divergent.
https://bulkbookstore.com/leaving-everything-most-loved-a-maisie-dobbs-novel-9780062049612,"From New York Times bestselling author Jacqueline Winspear, now available in paperback—the tenth novel in the New York Times bestselling Maisie Dobbs series—“a series that seems to get better with each entry” (Wall Street Journal)—in which the death of an Indian immigrant leads Maisie in an unexpected direction."
https://bulkbookstore.com/whats-your-number-a-novel-9780062062628,"“Bosnak writes with a charming and original voice.”
—Chicago Sun-Times"
https://bulkbookstore.com/the-melt-method-a-breakthrough-self-treatment-system-to-eliminate-chronic-pain-erase-the-signs-of-aging-and-feel-fantastic-in-just-10-minutes-a-day-9780062065353,
https://bulkbookstore.com/the-body-in-the-library-a-miss-marple-mystery-9780062073617,
https://bulkbookstore.com/mrs-mcgintys-dead-a-hercule-poirot-mystery-9780062074089,"In Mrs. McGinty’s Dead, one of Agatha Christie’s most ingenious mysteries, the intrepid Hercule Poirot must look into the case of a brutally murdered landlady."
https://bulkbookstore.com/clean-gut-the-breakthrough-plan-for-eliminating-the-root-cause-of-disease-and-revolutionizing-your-health-9780062075871,"In Clean Gut, Alejandro Junger, M.D, New York Times bestselling author of Clean and creator of the world-famous Clean Program, delivers a complete toolkit for reversing disease and sustaining life-long health."
https://bulkbookstore.com/the-illustrated-man-9780062079978,"This book title, The Illustrated Man, ISBN: 9780062079978, by Ray Bradbury, published by HarperCollins (October 11, 2011) is available in paperback. Our minimum order quantity is 25 copies. All standard bulk book orders ship FREE in the continental USA and delivered in 4-10 business days."
https://bulkbookstore.com/the-graveyard-book-a-novel-9780062081551,"This book title, The Graveyard Book (A Novel), ISBN: 9780062081551, by Neil Gaiman, Dave McKean, published by HarperCollins (September 27, 2011) is available in paperback. Our minimum order quantity is 25 copies. All standard bulk book orders ship FREE in the continental USA and delivered in 4-10 business days."
https://bulkbookstore.com/fancy-nancy-nancy-clancy-super-sleuth-9780062082930,
https://bulkbookstore.com/fancy-nancy-nancy-clancy-secret-of-the-silver-key-9780062082992,"Join Nancy Clancy in New York Times bestselling team Jane O'Connor and Robin Preiss Glasser's fourth Nancy Clancy chapter book about the past, present, and future! Nancy and her best friend, Bree, must go back in time to solve their latest mystery. While Nancy's class learns about time capsules in school, another relic from the past pops up in the present. Nancy buys an old desk at a tag sale and soon finds out that someone left behind a key. In the perfect follow-up to Nancy Clancy, Super Sleuth; Nancy Clancy, Secret Admirer; and Nancy Clancy Sees the Future, Nancy and Bree set out to unlock the secret of the silver key in the hopes of finding some treasure along the way. But unlocking the mystery soon proves to be more difficult than they had thought, and when the answer isn't what they had expected, Nancy and Bree learn there are some things that remain timeless forever."
https://bulkbookstore.com/dixie-and-the-best-day-ever-9780062086594,
https://bulkbookstore.com/amelia-bedelia-chapter-book-1-amelia-bedelia-means-business-9780062094964,"Amelia Bedelia makes her chapter book debut! In Amelia Bedelia Means Business, a New York Times bestseller and the first book in the new chapter book series, young Amelia Bedelia will do almost anything for a shiny new bicycle."
https://bulkbookstore.com/amelia-bedelia-chapter-book-4-amelia-bedelia-goes-wild-9780062095060,"Amelia Bedelia, America's favorite housekeeper, had a childhood full of surprises, mischief, and hilarious misunderstandings. In this illustrated chapter book adventure, just right for fans of Judy Moody and Ivy + Bean, young Amelia Bedelia and her friends build a zoo in the backyard (complete with stuffed animals and attractions) and offer safari adventures to the entire neighborhood. This is the fourth book in the nationally bestselling Amelia Bedelia chapter book series, and it is just right for newly independent readers ready for a more challenging vocabulary and books with chapters."
https://bulkbookstore.com/the-school-for-good-and-evil-2-a-world-without-princes-9780062104922,"In the New York Times bestselling sequel to Soman Chainani's debut, The School for Good and Evil, Sophie and Agatha are back in Gavaldon, living out their Happily Ever After, but life isn't quite the fairy tale they expected. "
https://bulkbookstore.com/the-wapshot-chronicle-9780060528874,"When The Wapshot Chronicle was published in 1957, John Cheever was already recognized as a writer of superb short stories. But The Wapshot Chronicle, which won the 1958 National Book Award, established him as a major novelist."
https://bulkbookstore.com/the-wapshot-scandal-9780060528881,"In this simultaneously hilarious and poignant companion volume to The Wapshot Chronicle, the members of the Wapshot family of St. Botolphs drift far from their New England village into the demented caprices of the mighty, the bad graces of the IRS, and the humiliating abyss of adulterous passion."
https://bulkbookstore.com/before-the-poison-lp-a-novel-9780062107039,"“The accomplished Robinson never disappoints, mixing well-developed characterizations with edge-of-the-seat action.”
—New Orleans Times-Picayune"
https://bulkbookstore.com/pete-the-cat-and-his-four-groovy-buttons-9780062110589,An award-winning and bestselling Pete the Cat hardcover picture book!
https://bulkbookstore.com/american-spartan-the-promise-the-mission-and-the-betrayal-of-special-forces-major-jim-gant-9780062114990,"Lawrence of Arabia meets Sebastian Junger's War in this unique, incendiary, and dramatic true story of heroism and heartbreak in Afghanistan written by a Pulitzer Prize–nominated war correspondent."
https://bulkbookstore.com/splat-the-cat-and-the-pumpkin-picking-plan-9780062115867,"Take a trip to the pumpkin patch in this funny Splat the Cat tale by New York Times bestselling author-artist Rob Scotton. This is a festive fall 8x8 storybook complete with more than 30 stickers, just right for Halloween."
https://bulkbookstore.com/search-inside-yourself-the-unexpected-path-to-achieving-success-happiness-and-world-peace-9780062116932,"With Search Inside Yourself, Chade-Meng Tan, one of Google’s earliest engineers and personal growth pioneer, offers a proven method for enhancing mindfulness and emotional intelligence in life and work."
https://bulkbookstore.com/becoming-richard-pryor-9780062123305,"A major biography—intimate, gripping, revelatory—of an artist who revolutionized American comedy."
https://bulkbookstore.com/jinxs-magic-9780062129932,"Jinx's Magic is the second book in Sage Blackwood's highly acclaimed fantasy-adventure series, Jinx. This humorous and smart tween trilogy set in a magical forest is perfect for fans of Angie Sage's Septimus Heap, Michael Buckley's the Sisters Grimm, and Brandon Mull's Fablehaven."
https://bulkbookstore.com/flat-stanley-and-the-very-big-cookie-9780062189783,"Flat Stanley loves to help Mr. Pete the Baker make his delicious treats! When another baker begins taking away all his business, Mr. Pete comes up with a BIG idea to save his bakery, but he needs help from Stanley and Arthur! Will they succeed or will everything just fall flat? Beginning readers with a sweet tooth will love Flat Stanley's yummiest adventure yet!"
https://bulkbookstore.com/collins-pocket-korean-dictionary-9780062191717,
https://bulkbookstore.com/meet-the-dullards-9780062198563,"In the tradition of The Stupids, Meet the Dullards is a clever and irreverent picture book about a comically boring family, from bestselling author Sara Pennypacker and illustrator Daniel Salmieri."
https://bulkbookstore.com/pete-the-cat-construction-destruction-9780062198617,Pete the Cat builds a playground in New York Times bestselling artist James Dean's Pete the Cat: Construction Destruction.
https://bulkbookstore.com/pete-the-cat-cavecat-pete-9780062198631,Meet Cavecat Pete in New York Times bestselling artist James Dean's prehistoric Pete the Cat adventure!
https://bulkbookstore.com/epitaph-a-novel-of-the-o-k-corral-9780062198761,"Mary Doria Russell, the bestselling, award-winning author of The Sparrow, returns with Epitaph. An American Iliad, this richly detailed and meticulously researched historical novel continues the story she began in Doc, following Wyatt Earp and Doc Holliday to Tombstone, Arizona, and to the gunfight at the O.K. Corral."
https://bulkbookstore.com/the-book-of-forgiving-the-fourfold-path-for-healing-ourselves-and-our-world-9780062203564,
https://bulkbookstore.com/astoria-astor-and-jeffersons-lost-pacific-empire-a-tale-of-ambition-and-survival-on-the-early-american-frontier-9780062218308,"In the tradition of The Lost City of Z and Skeletons in the Zahara, Astoria is the thrilling, true-adventure tale of the 1810 Astor Expedition, an epic, now forgotten, three-year journey to forge an American empire on the Pacific Coast. Peter Stark offers a harrowing saga in which a band of explorers battled nature, starvation, and madness to establish the first American settlement in the Pacific Northwest and opened up what would become the Oregon trail, permanently altering the nation's landscape and its global standing."
https://bulkbookstore.com/snuff-a-novel-of-discworld-9780062218865,"At long last, Lady Sybil has lured her husband, Sam Vimes, on a well-deserved holiday away from the crime and grime of Ankh-Morpork. But for the commander of the City Watch, a vacation in the country is anything but relaxing. The balls, the teas, the muck—not to mention all that fresh air and birdsong—are more than a bit taxing on a cynical city-born and -bred copper."
https://bulkbookstore.com/charlie-the-ranch-dog-wheres-the-bacon-9780062219084,"Kids already love Charlie the Ranch Dog from the humorous picture books by Ree Drummond, the Pioneer Woman. Now hard-working, bacon-loving basset hound Charlie is starring in a series of illustrated books for beginning readers.
 
In Charlie the Ranch Dog: Where's the Bacon?, a new dog comes to visit. Things get off to a bad start. Rowdy doesn’t understand Charlie is the boss of the ranch. He sleeps in Charlie’s bed, drinks Charlie’s water, and worst of all, he eats Charlie’s bacon. Charlie has to get Rowdy under control. And he really needs to find more bacon!
 
Where’s the Bacon? is a Level One I Can Read book, which means it is perfect for children learning to sound out words and sentences."
https://bulkbookstore.com/charlie-the-ranch-dog-charlies-snow-day-9780062219114,Ree Drummond (also known as The Pioneer Woman) and Charlie the Ranch Dog return in this snow-filled I Can Read title.
https://bulkbookstore.com/charlie-the-ranch-dog-charlies-new-friend-9780062219145,"Ree Drummond, the Pioneer Woman and #1 New York Times bestselling author of Charlie the Ranch Dog, is back with a new I Can Read story featuring our favorite bacon-loving basset hound. In Charlie's New Friend, Charlie the Ranch Dog meets his match in Mr. Rabbit, a sneaky ranch animal that steals from Mama's garden. Charlie tries to think up ways to stop the rabbit from eating up all the yummy carrots, but Mr. Rabbit always seems to be one step ahead!"
https://bulkbookstore.com/charlie-the-ranch-dog-charlie-goes-to-the-doctor-9780062219176,"Charlie is the lovable basset hound of the Pioneer Woman, Ree Drummond, and the star of the #1 New York Times bestselling picture book Charlie the Ranch Dog. Now our favorite bacon-loving dog is back in this new I Can Read story!"
https://bulkbookstore.com/a-dangerous-place-a-maisie-dobbs-novel-9780062220554,
https://bulkbookstore.com/watching-the-dark-lp-an-inspector-banks-novel-9780062222916,A decorated police detective inspector is murdered and compromising photographs are discovered in his room. Detective Chief Inspector Alan Banks is well aware he must handle the highly sensitive—and potentially explosive—investigation with the utmost discretion.
https://bulkbookstore.com/waiting-to-be-heard-lp-a-memoir-9780062223265,"Amanda Knox spent four years in a foreign prison for a crime she did not commit, as seen in the Netflix documentary Amanda Knox."
https://bulkbookstore.com/tales-from-both-sides-of-the-brain-a-life-in-neuroscience-9780062228802,"Michael S. Gazzaniga, one of the most important neuroscientists of the twentieth century, gives us an exciting behind-the-scenes look at his seminal work on that unlikely couple, the right and left brain. Foreword by Steven Pinker."
https://bulkbookstore.com/the-short-and-fascinating-tale-of-angelina-whitcombe-9780062230720,
https://bulkbookstore.com/small-gods-a-novel-of-discworld-9780062237378,"Lost in the chill deeps of space between the galaxies, it sails on forever, a flat, circular world carried on the back of a giant turtle—"
https://bulkbookstore.com/any-duchess-will-do-9780062240125,USA Today Bestseller
https://bulkbookstore.com/the-southerners-handbook-a-guide-to-living-the-good-life-9780062242389,"Whether you live below the Mason Dixon Line or just wish you did, The Southerner’s Handbook is your guide to living the good life. Curated by the editors of the award-winning Garden & Gun magazine, this compilation of more than 100 instructional and narrative essays offers a comprehensive tutorial to modern-day life in the South."
https://bulkbookstore.com/shake-9780062242648,"Original, amusing, and brilliantly documented, Shake is a heartwarming collection of sixty-one beguiling dogs caught in the most candid of moments: mid-shake. This glorious, graphic volume will stop you dead in your tracks as you are presented with images of man's best friend caught in contortion: hair wild, eyes darting, ears and jowls flopping every which way."
https://bulkbookstore.com/the-art-of-neil-gaiman-9780062248565,"With unprecedented access to Neil Gaiman’s personal archives, author Hayley Campbell gives an insider’s glimpse into the artistic inspirations and musings of one of the world’s most visionary writers."
