ISBN,biography
9780061143311,"I was born in 1968 and grew up in my grandmother’s house in suburban Connecticut, where I was convinced a ghost named Virgil lived in the attic. I wrote my first short story in third grade. I graduated with a BA from Goddard College in 1991 and then studied poetry for a year in the MFA in Writing Program at Vermont College. A poem turned into a story, which turned into a novel, and I decided to take some time to think about whether I wanted to write poetry or fiction. After bouncing around the country, I wound up back in Vermont, living in a cabin with no electricity, running water, or phone with my partner, Drea, while we built our own house. Over the years, I have been a house painter, farm worker, paste-up artist, Easter Bunny, pizza delivery person, homeless shelter staff member, and counselor for adults and kids with mental illness — I quit my last real job in 2000 to work on writing full time. In 2004, I gave birth to our daughter, Zella. These days, we’re living in an old Victorian in Montpelier, Vermont. Some neighbors think it looks like the Addams family house, which brings me immense pleasure."
9780061170812,"Sarah Weeks is the author of more than 50 books for young readers including So B. It, Pie, Honey, Save Me a Seat and Glamourpuss. Her poignant bestselling novel, SO B IT has been adapted for the big screen. The movie, starring Alfre Woodard, Jessica Collins, Dash Mihok and introducing Talitha Bateman will be released on October 6th, 2017. Follow the movie on Facebook at So B. It Film.
IF YOU LOVED THE BOOK, YOU'LL LOVE THE MOVIE
Ms Weeks lives in Nyack New York, and is available for author visits. Visit her at www.sarahweeks.com/
photo by Mike Avazanno"
9780060536909,
9780380810123,"I was born in a log cabin in Illinois and used to write by candlelight with a piece of chalk on a shovel. Oh, wait a minute. That was Abraham Lincoln. 
Actually, I’m a children's book author. I’ve written more than 170 books for kids from kindergarten up to middle school.
For the little ones, I write picture books like ""Rappy the Raptor,"" about a rapping raptor named Rappy, who raps.
For beginning readers, I write ""My Weird School,"" about some kids who go to a school in which all the grownups are crazy. Thirty-one million copies have been sold. I also write “Wait! WHAT?” a series of biographies that focus on the unusual aspects of people like Albert Einstein, Amelia Earhart, Muhammad Ali, and Teddy Roosevelt.
For middle-graders, I write the baseball card adventure series, about a boy who has the power to travel through time using a baseball card like a time machine. He goes on adventures with players like Babe Ruth, Jackie Robinson, Willie Mays, and others. 
For advanced readers, I write ""The Genius Files,"" ""Flashback Four,” “Houdini and Me” and others. 
If you’d like to find out more, visit my web site (www.dangutman.com), my Facebook fan page, and follow me on Twitter and Instagram @dangutmanbooks."
9780061358302,
9780061429903,"Macky Pamintuan is a children's book illustrator from Davao, Philippines. He moved to San Francisco, California in 1998 and earned his BFA at the Academy of Art University in 2003.
His past clients have included HarperCollins, Sterling Publishing, Simon & Schuster, Harcourt-Brace, Random House, Bloomsbury USA, Mcgraw-Hill, Scholastic, Soundprints, Peaceable Kingdom Press and many others.
 He currently lives in the Philippines as a husband to Aymone, father to Ali and a grumpy walker to Winter & Autumn.
You can view more of his work via his art representative: www.mbartists.com"
9780061430459,
9780061430831,"Syd Hoff is a much-loved and much-read author and illustrator of numerous books for children. Born and raised in New York City, he studied at the National Academy of Design and sold his first cartoon to The New Yorker when he was eighteen. Since then his cartoons have become a regular feature in many magazines and newspapers. Syd Hoff and his wife live in Miami Beach, Florida.Syd Hoff is a much-loved and much-read author and illustrator of numerous books for children. Born and raised in New York City, he studied at the National Academy of Design and sold his first cartoon to The New Yorker when he was eighteen. Since then his cartoons have become a regular feature in many magazines and newspapers. Syd Hoff and his wife live in Miami Beach, Florida."
9780061452482,"Charles (Chip) Kidd (born September 12, 1964) is an American graphic designer, best known for his innovative book covers. Based in New York city, Kidd has become one of the most famous book cover designers to date.
Bio from Wikipedia, the free encyclopedia. Photo by Luigi Novi [CC BY 3.0 (http://creativecommons.org/licenses/by/3.0) or CC BY 3.0 (http://creativecommons.org/licenses/by/3.0)], via Wikimedia Commons."
9780061452574,"About Paul (Contact: pperry87@cox.net)
Paul Perry (www.paulperryproductions.com)is the co-author of several New York Times bestsellers, including Closer to the Light, Transformed by the Light and Saved by the Light, which was made into a popular movie by Fox-TV. His work has appeared in National Geographic Adventure, Outside Magazine, Reader's Digest, and several other popular periodicals. His books have been published in more than 30 languages around the world. 
In 1986 Paul's interest in the effects and meaning of near-death experiences led him to a professional involvement with Dr. Raymond Moody, considered to be the founder of near-death studies. The two have written five books together (Paranormal, Glimpses of Eternity, The Light Beyond, Coming Back and Reunions). All tolled he has written or co-written more than 10 books on the subject of near-death experiences, four of which have become New York Times bestsellers. His most recent books are two bestseller with Jeffrey Long, MD (Evidence of the Afterlife, and God and the Afterlife) and Dying to Wake Up: A Doctor's Voyage into the Afterlife and the Wisdom He Brought Back, with Rajiv Parti, MD. 
Paul is also a documentary filmmaker whose work has appeared on worldwide television. His best known film, Jesus, the Lost Years was first the subject of a book he wrote for Random House, Jesus in Egypt, which follows the trail believed to be used by the Holy Family as they fled into Egypt to escape the murderous soldiers of King Herod. He returned to Egypt to produce and direct Visions and Miracles: Out of the Land of Egypt, a documentary film that chronicles modern visions that are confirmed by film or video or with scientific evidence, as with miraculous healings (www.visionsandmiracles.com). His most recent documentary, AFTERLIFE, tackles the fascinating subject of near-death experiences and interviews scientists who have researched proof of a life after death. It also features a number of people who have died and returned to tell their astounding stories (www.paulperryproductions.com). That film was on Netflix for five years and was reissued by Sony in 2017. 
DALI'S GREATEST SECRET, a documentary about surrealist artist Salvador Dali is Paul's latest project. The film was nominated at the Madrid International Film Festival in 2014 for Best Director and Best Documentary. It is about a secret painting done by Dali, The Vision of Hell, and how its subject, a vision that took place in Fatima, Portugal, had a profound effect on his life and work. The painting was hidden beneath a nun's bed for 30 years and was rediscovered in 2005. Read a recent article about the painting and movie at: http://paulperryproductions.com/paul-perry-interview-dali-villas-golfe-magazine-may-2017/ 
MUMMIES OF LISBON, an excavation of 80 mummies hidden in a church in Lisbon, Portugal, has been issued by SMG Media and Sony and is currently available on Amazon Prime and many other outlets. 
Paul is currently working on a documentary film series about Medieval relics, which he expects to complete in 2018.
Paul is a graduate of Arizona State University and a former fellow at the prestigious Gannett Center for Media Studies at Columbia University in New York City. He taught magazine writing at the University of Oregon in Eugene, Oregon, and was Executive Editor at American Health magazine, a winner of the National Magazine Awards for General Excellence. Since becoming a full-time writer, Paul has written or co-written more than books on a variety of subjects, from the paranormal to piracy."
9780061473067,"Michael Benson is one of today’s most popular true-crime writers. His books—including Betrayal In Blood, Murder In Connecticut, Killer Twins, The Burn Farm, Mommy Deadliest, A Killer’s Touch, Evil Season, and The Devil at Genesee Junction—tell vividly of today’s most heinous criminals, and the clever and stalwart lawmen who bring them to justice. He is currently a regular commentator for two true-crime series, Evil Twins and Evil Kin, on the Investigation Discovery (I.D.) channel, and had also made guest appearances on that channel’s Evil Stepmoms, Deadly Sins, Southern Fried Homicide, and On the Case with Paula Zahn. Benson’s most recent crime book, The Devil at Genesee Junction, tells the story of his return to the scene of a childhood trauma. Two of his friends were murdered and mutilated near his rural home south of Rochester, N.Y. when he was nine. Those murders were never solved. As an adult and veteran true-crime writer, Benson teamed up with the mother of one of the victims and a local private investigator to heat up that cold case and propel it in a startling new direction. During his three decades as a professional writer, Benson has worked closely with a retired Army Intelligence agent during the tense days after 9/11 for a book about the CIA, and with a retired FBI agent for a book about National Security; co-written two books with a former New York Police Department “Cop of the Year”; explored the Grassy Knoll in Dallas with a former KGB agent while researching his much-acclaimed Who’s Who in the JFK Assassination; collaborated efficiently with an astronaut; and covered the Stephen Hayes triple-murder trial in New Haven, Ct., for the New York Post. Benson has a B.A. with honors in Communication Arts from Hofstra University, and currently lives in Brooklyn, N.Y. He is the winner of an Academy of American Poets award.
Early reviews for THE DEVIL AT GENESEE JUNCTION:
Kathleen P. Munley
True crime author Michael Benson has written a deeply thoughtful and intriguing work of the horrific and unsolved murders of two young women from upstate New York that occurred some forty-nine years ago. A youngster at the time of the murders, the victims were neighbors of the author and their deaths deeply impacted his and the lives of the entire community. Written over an extended period of time, beginning in his youth, then in the 1980s and 1990s, and, finally, from 2011 to 2015, the author, in effect, reopens the case taking his readers on a protracted investigation into the crimes that includes consideration of ""likely suspects"" who got away with the murders. Along the route, readers are introduced to the people, places, and events that were the setting for the murders. The book is made even more interesting for the reader by the author's consideration of possible connections between the murders and those of others that occurred in various places in the United States around the same time. A really good read for all true crime buffs!
Patrick A. Patterson
Once again Mike Benson has documented a true crime event -- this time in his small, boyhood neighborhood in upstate New York during the late 1960s. He has created labyrinth of detail about the loss of innocents near a Tom Sawyer-like swimming hole where the death and sexual mutilation of two of his adolescent friends caused a frenzy and panic in the community. A crime that has never resulted in justice for the person or persons who committed the crime nor closure for the victim's families. Nearly fifty years later he describes the murders, the multitude of suspects developed and a community surrounded by pedophilia, rape and serial killers -- a story of sexual predators that makes us all fear for our children.
Robert Mladinich
Veteran crime writer Michael Benson embarks on a deeply personal and thought-provoking investigative journey into the murders of two young female neighbors nearly a half-century ago. Along with one of the victim's mothers and a private investigator, they leave no stone unturned in identifying suspects and linking them to other grisly killings throughout the United States. It's a page-turner.
Donald A. Tubman, Private Investigator
In 2011, I was offered the opportunity to be a large part of Michael Benson's investigation into the June 1966 murders of George-Ann Formicola and Kathy Bernhard, and jumped at the chance. I went to school with the victims, and graduated from high school on the evening of the murders, so I felt an emotional connection to the case. My many years as a policeman, investigator and now as a private investigator left me more than qualified for the task. The results of our investigation is now available to the public, expertly written by my friend and veteran true-crime writer, Michael Benson in the book The Devil at Genesee Junction. The book tells Benson's personal story, his close involvement with the tragedy, from the time he was nine-years-old to the present, almost 50 years later.The Devil at Genesee Junction is a must read as both a memoir and an investigatory procedural, for true-crime fans everywhere. Although the evidence against several suspects is analyzed in the book, one suspect in particular I feel necessitates increased scrutiny from the Monroe County Sheriff's Office's cold-case investigators. I believe that this case is solvable, and closure for Alice Bernhard, Kathy's mom, is possible. But action needs to be taken."
9780688046590,
9780061665738,
9780061688652,"Erin Hunter is the author of the bestselling Warriors and Seekers series. She is inspired by a love of animals and a fascination with the ferocity of the natural world. As well as having great respect for nature in all its forms, Erin enjoys creating rich mythical explanations for animal behavior."
9780061732478,"Gayle Tzemach Lemmon is the author of the New York Times bestsellers Ashley’s War: The Untold Story of a Team of Women Soldiers on the Special Ops Battlefield (2015) and The Dressmaker of Khair Khana (2011), about a young entrepreneur who supported her community under the Taliban. Ashley’s War is currently being developed into a major motion picture at Universal. Her next book, for Penguin Press, is set in northeastern Syria and will be published in February 2021. The Daughters of Kobani tells the story of what ISIS has left in its wake: the most far-reaching experiment in women’s equality in the least likely place in the world brought to you by young women who have been battling ISIS town by town, street by street since 2013. These young women served as America’s ground force in the fight to defeat the Islamic State and The Daughters of Kobani tells for the first time the story of how they came to serve as America’s partner. 
Lemmon, who serves as an adjunct senior fellow at the Council on Foreign Relations, along with private sector leadership roles in emerging technology and national security, began writing about entrepreneurship in conflict and post-conflict zones while studying for her MBA at Harvard following a decade covering politics at the ABC News Political Unit. This work from Afghanistan, Rwanda, Liberia, Bosnia and beyond has been published by the World Bank, Harvard Business School, the Financial Times, Harvard Business Review and CNN, among others. Following MBA study, she led public policy analysis during the global financial crisis at the global investment firm PIMCO.
Lemmon is a frequent speaker on national security topics, including at the Aspen Security Forum and TED forums, and has given talks at West Point, ODNI, the Defense Intelligence Agency, the U.S. Naval Academy, and the National Infantry Museum. Her TED Talk on Ashley’s War and the reshaping of the hero story to include women has received more than a million views worldwide. She regularly appears on MSNBC, CNN, PBS, and National Public Radio. Along with her national security work, she has reported and written extensively on topics including child marriage in the United States for PBS NewsHour and on school choice, single moms and the power and importance of girls’ ambition for The Atlantic. Lemmon holds an MBA from Harvard and received the Dean’s Award for her work on women’s entrepreneurship. In addition to serving as a Robert Bosch Fellow in Germany, she served as a Fulbright scholar in Spain, on the board of the international aid organization Mercy Corps and is a member of the Bretton Woods Committee. She speaks Spanish, German and French and is conversant in Dari and Kurmanci. "
9780061765285,
9780061791048,"Tilar J. Mazzeo is the author of Back Lane Wineries of Sonoma (The Little Bookroom),The New York Times best-selling 'oenobiography 'The Widow Clicquot: The Story of a Champagne Empire and the Woman Who Ruled It (Harper), and the forthcoming Back Lane Wineries of Napa (The Little Bookroom, Spring 2010). The Widow Clicquot has been recognized by Gourmand as the Best Work of Wine Literature in the United States for 2008. A member of the International Food, Wine, and Travel Writers Association, her work has appeared in Food and Wine magazine. She divides her time between the California wine country and the East Coast, where she is a professor of English at Colby College."
9780061885006,
9780061910241,"Eric Litwin is a song singing, guitar strumming, # 1 New York Times Best Selling, author who brings reading and music together. He is the author of the original four Pete the Cat books as well as the author of The Nuts and Groovy Joe. Eric's books have sold over 13 million copies, been translated into 17 languages, and won 26 literacy awards including a Theodor Geisel Seuss Honor Award. Visit Eric at www.ericlitwin.com"
9780061929380,"After graduating from Harvard Medical School, Michael Crichton embarked on a career as a writer and filmmaker, whose credits include 'The Andromeda Strain', 'Westworld', 'Jurassic Park', 'Rising Sun', 'Prey' and 'State of Fear' and the TV series 'ER'. He has sold over 150 million books which have been translated into thirty-six languages; twelve have been made into films. He is the only person to have had, at the same time, the number one book, movie and TV show in the United States."
9780061944185,
9780061950704,
9780061958120,
9780061987472,"I'm Mary Shomon, and I'm a patient advocate, author, communications consultant, and mother. I've transformed my own struggle with thyroid disease into an advocacy campaign on behalf of patients with chronic diseases such as thyroid disease, autoimmune conditions, hormonal imbalances, and weight gain, among others.
I was diagnosed with Hashimoto's Thyroiditis in 1995, and now research and write about these conditions and their impact on health and weight. I am a Patient Expert at HealthCentral.com, writing on Thyroid and Diabetes. For 20 years, I was Thyroid Expert for the Verywell.com Thyroid site (formerly About.com). 
I am editor of my popular patient thyroid news report, Sticking Out Our Necks, and the co-star in the Healthy Hormones series of programs on PBS. I also blog at the Huffington Post. 
In my patient advocacy role, I bring much-needed attention to underdiagnosed and often overlooked health issues. My desire to cut through medical jargon and deliver information to my fellow patients in a form they can understand resulted in my first health-related book, Living Well With Hypothyroidism: What Your Doctor Doesn't Tell You . . . That You Need to Know, which was first published in 2000 by HarperCollins, and has gone to more than 20 printings before a 2nd Revised Edition was published. The book was a Prevention Book Club Selection, and Amazon Top-Selling health book, and its popularity launched a new series of consumer health books for publisher HarperCollins.
I am also author of the New York Times best-selling book The Thyroid Diet: Manage Your Metabolism for Lasting Weight Loss. (2004) ""Thyroid Diet"" was also a semi-finalist for the prestigious Quills Awards in 2005. The newest edition of this popular book is The Thyroid Diet Revolution.
My latest books are ""Hair Loss Master Plan"" (with internationally renowned hair stylist and hair loss expert Brent Hardgrave), Your Healthy Pregnancy with Thyroid Disease"" (with HypothyroidMom's Dana Trentini), and ""Quinoa Mac and Cheese"" (with Brigitte Britton and Lisa Moretti). I am also author of Living Well With Graves' Disease and Hyperthyroidism, Living Well With Autoimmune Disease, Living Well With Chronic Fatigue Syndrome and Fibromyalgia,"" (2004), Thyroid Hormone Breakthrough (2005), The Menopause Thyroid Solution, The Thyroid Diet Revolution, and the Thyroid Guide to Hair Loss. 
I've been featured in hundreds of television, radio, newspaper, magazine and web interviews, including appearances on ABC World News Tonight and CBS Radio Networks, and interviews in the New York Times, Wall Street Journal, Ladies Home Journal, Health, Cooking Light, Elle Magazine, Woman's World, and the Los Angeles Times, to name just a few. My goal? To help raise awareness for overlooked and mistreated thyroid and hormonal health issues.
Coaching: I also provide one-on-one personal telephone coaching to help fast-forward you up the learning curve and brainstorm answers to your health questions. Visit http://www.mary-shomon.com/coaching for more information.
In more than two decades of consumer advocacy, I have never hesitated to take a stand on behalf of patients, and my independence from drug companies and medical/patient organizations that are funded by the pharmaceutical industry has allowed me to maintain an unbiased, truly patient-first advocacy effort.
I welcome you to visit my site at http://www.mary-shomon.com and join me at my Facebook support pages, http://www.facebook.com/thyroidsupport and http://www.facebook.com/thyroiddiet - and take time to live well! -- Mary"
9780061998638,
9780062024053,"Veronica Roth is the #1 New York Times bestselling author of the Divergent series and Carve the Mark. She was born in a Chicago suburb, and studied creative writing at Northwestern University. She and her husband and dog currently live in Chicago.
You can find Veronica on Instagram (@vrothbooks), Facebook, or at her website (veronicarothbooks.com), or sign up for her newsletter to get book news and exclusive content here! eepurl.com/dcqzr1"
9780062049612,"Jacqueline Winspear is the creator of the New York Times and National Bestselling series featuring psychologist and investigator, Maisie Dobbs. Her first novel – Maisie Dobbs – received numerous awards nominations, including the Edgar Award for Best Novel and the Agatha Award for Best First Novel. It was a New York Times Notable Book and a Publisher’s Weekly Top Ten Pick.“ Jacqueline’s “standalone” novel set in WW1, The Care and Management of Lies, was a finalist for the Dayton Literary Peace Prize in 2015. In 2019 The American Agent, her 16th novel, was published, along with a non-fiction book based upon the Maisie Dobbs’ series, What Would Maisie Do? Originally from the UK, Jacqueline now lives in northern California."
9780062062628,"Karyn Bosnak lives in Los Angeles. Her first book, the memoir SAVE KARYN (based on the website of the same name), received international media attention when it was published in 2003, resulting in appearances on the Today Show and 20/20. Karyn's second book and first novel, 20 TIMES A LADY, was published in 2006 and made into the 2011 feature film WHAT'S YOUR NUMBER? starring Anna Faris and Chris Evans.
To find out what Karyn's been up to visit her website www.karynbosnak.com, Instagram @karynbosnak, Twitter @karynbosnak or Facebook at www.facebook.com/authorkarynbosnak."
9780062074089,"Born in Torquay in 1890, Agatha Christie began writing during the First World War and wrote over 100 novels, plays and short story collections. She was still writing to great acclaim until her death, and her books have now sold over a billion copies in English and another billion in over 100 foreign languages. Yet Agatha Christie was always a very private person, and though Hercule Poirot and Miss Marple became household names, the Queen of Crime was a complete enigma to all but her closest friends."
9780062075871,"Alejandro Junger, M.D., is the New York Times bestselling author of Clean, Clean Gut and Clean Eats. He completed his training in internal medicine at New York University Downtown Hospital and his fellowship in cardiology at Lenox Hill Hospital. After his medical training, he studied eastern medicine in India. He recently published his third book, Clean Eats. He lives in Los Angeles with his three children."
9780062079978,"In a career spanning more than seventy years, Ray Bradbury, who died on June 5, 2012, at the age of 91, inspired generations of readers to dream, think, and create. A prolific author of hundreds of short stories and close to fifty books, as well as numerous poems, essays, operas, plays, teleplays, and screenplays, Bradbury was one of the most celebrated writers of our time. His groundbreaking works include Fahrenheit 451, The Martian Chronicles, The Illustrated Man, Dandelion Wine, and Something Wicked This Way Comes. He wrote the screen play for John Huston's classic film adaptation of Moby Dick, and was nominated for an Academy Award. He adapted sixty-five of his stories for television's The Ray Bradbury Theater, and won an Emmy for his teleplay of The Halloween Tree. He was the recipient of the 2000 National Book Foundation Medal for Distinguished Contribution to American Letters, the 2004 National Medal of Arts, and the 2007 Pulitzer Prize Special Citation, among many honors.
Throughout his life, Bradbury liked to recount the story of meeting a carnival magician, Mr. Electrico, in 1932. At the end of his performance Electrico reached out to the twelve-year-old Bradbury, touched the boy with his sword, and commanded, ""Live forever!"" Bradbury later said, ""I decided that was the greatest idea I had ever heard. I started writing every day. I never stopped."""
9780062081551,
9780062082992,
9780062094964,
9780062104922,
9780060528874,
9780062114990,
9780062115867,
9780062116932,
9780062123305,
9780062129932,
9780062198563,
9780062198617,
9780062198761,
9780062218308,
9780062219084,
9780062223265,
9780062228802,
9780062240125,
9780062242389,
9780062242648,
9780062248565,
9780062252074,
9780062270306,
9780062272157,
9780061007224,
9780062275820,
9780062277237,
9780061564901,
9780062281906,
9780062281753,
9780062282460,
9780062283597,
9780062284068,
9780062287045,
9780062294401,
9780062365750,
9780062297969,
9780062299338,
9780062339270,
9780062316097,
9780062317384,
9780062317605,
9780062319098,
9780062324672,
9780062325310,
9780062326478,
9780062331038,
9780062332585,
9780062334824,
9780062335319,
9780062337702,
9780060916701,
9780062348678,
9780062348807,
9780062353412,
9780062355881,
9780062356246,
9780062369062,
9780062370020,
9780062370044,
9780062370365,
9780062376336,
9780062378088,
9780062380494,
9780062387554,
9780062392749,
9780007149827,
9780007154579,
9780007155361,
9780007155422,
9780007156122,
9780007156610,
9780007156634,
9780007158058,
9780007161324,
9780007161782,
9780007162130,
9780007162222,
9780007163076,
9780007163632,
9780007163656,
9780007163670,
9780007164905,
9780007170609,
9780060000028,
9780060000189,
9780060000240,
9780060000745,
9780060000806,
9780060000851,
9780060000882,
9780060001049,
9780060001100,
9780060001209,
9780060001230,
9780060001278,
9780060001322,
9780060001445,
9780060001490,
9780060001506,
9780060002008,
9780060002077,
9780060002107,
9780060002732,
9780060004538,
9780060004668,
9780060004859,
9780060005054,
9780060005306,
9780060005375,
9780060005412,
9780060005504,
9780060005658,
9780060005672,
9780060006617,
9780060006679,
9780060006778,
9780060006877,
9780060006891,
9780060007317,
9780060007454,
9780060007577,
9780060007591,
9780060007751,
9780060007782,
9780060007829,
9780060008451,
9780060008505,
9780060008765,
9780060008895,
9780060009311,
9780060009342,
9780060009380,
9780060009472,
9780060009779,
9780060009830,
9780060010270,
9780060010294,
9780060011598,
9780060011611,
9780060012694,
9780060012809,
9780060012847,
9780060013240,
9780060013950,
9780060014049,
9780060014063,
9780060014100,
9780060014155,
9780060014346,
9780060080846,
9780060080945,
9780060081669,
9780060082369,
9780060082772,
9780060083113,
9780060083915,
9780060084271,
9780060084332,
9780060084400,
9780060084417,
9780060084486,
9780060084677,
9780060084684,
9780060084745,
9780060084776,
9780060085896,
9780060086251,
9780060086381,
9780060087449,
9780060087487,
9780060087760,
9780060088132,
9780060088316,
9780060088590,
9780060088606,
9780060088637,
9780060088743,
9780060088866,
9780060089085,
9780060089269,
9780060089481,
9780060090128,
9780060090333,
9780060090401,
9780060090555,
9780060090579,
9780060090616,
9780060090739,
9780060090821,
9780060090920,
9780060092726,
9780060092757,
9780060093464,
9780060093693,
9780060093860,
9780060095574,"Huston Cummings Smith (born May 31, 1919) is among the preeminent religious studies scholars in the United States. His work, The Religions of Man (later revised and retitled The World's Religions), is a classic in the field, with over two million copies sold, and it remains a common introduction to comparative religion.
Smith was born in Soochow, China, to Methodist missionaries and spent his first 17 years there. He taught at the Universities of Colorado and Denver from 1944 to 1947, moved to Washington University in St. Louis, Missouri, for the next 10 years, and then served as professor of Philosophy at MIT from 1958 to 1973. While at MIT, he participated in some of the experiments with entheogens that professor Timothy Leary conducted at Harvard University. Smith then moved to Syracuse University, where he was Thomas J. Watson Professor of Religion and Distinguished Adjunct Professor of Philosophy until his retirement in 1983 and current emeritus status. He now lives in the Berkeley, California, area where he is Visiting Professor of Religious Studies at the University of California, Berkeley.
During his career, Smith not only studied but also practiced Vedanta Hinduism, Zen Buddhism (under Goto Zuigan), and Sufism for over 10 years each. He is a notable autodidact.
As a young man, of his own volition after suddenly turning to mysticism, Smith set out to meet with then-famous author Gerald Heard. Heard responded to Smith's letter, invited him to Trabuco College (later donated as the Ramakrishna Monastery) in Southern California, and then sent him off to meet the legendary Aldous Huxley. So began Smith's experimentation with meditation and his association with the Vedanta Society in Saint Louis under the auspices of Swami Satprakashananda of the Ramakrishna order.
Via the connection with Heard and Huxley, Smith eventually experimented with Timothy Leary and others at the Center for Personality Research, of which Leary was research professor. The experience and history of that era are captured somewhat in Smith's book Cleansing the Doors of Perception. In this period, Smith joined in on the Harvard Project as well, in an attempt to raise spiritual awareness through entheogenic plants. 
He has been a friend of the XIVth Dalai Lama for more than 40 years, and has met and talked to some of the great figures of the century, from Eleanor Roosevelt to Thomas Merton.
Smith developed an interest in the Traditionalist School formulated by Rene Guenon and Ananda Coomaraswamy. This interest has become a continuing thread in all his writings.
In 1996 Bill Moyers devoted a five-part PBS special to Smith's life and work: The Wisdom of Faith with Huston Smith. Smith has also produced three series for public television: The Religions of Man, The Search for America, and (with Arthur Compton) Science and Human Responsibility.
His films on Hinduism, Tibetan Buddhism, and Sufism have all won awards at international film festivals. His latest DVD release is The Roots of Fundamentalism—A Conversation with Huston Smith and Phil Cousineau."
9780060095727,
9780060095857,
9780060096045,
9780060096182,"Meg Cabot was born in Indiana during the Chinese astrological year of the Fire Horse, a notoriously unlucky sign, but has been working hard ever since to give herself a happy ending. Her books for both adults and tweens/teens have included multiple #1 New York Times bestsellers, selling well over 25 million copies worldwide. Her Princess Diaries series has been published in more than 38 countries and was made into multiple hit films by Disney. Meg’s numerous other award-winning books include the Mediator series and the Heather Wells mystery series. Meg Cabot (her last name rhymes with habit, as in “her books can be habit forming”) currently lives in Key West with her husband."
9780060096205,"Saralee Rosenberg wanted to be a model but god missed the memo. Instead he made her a funny writer. Check out her four hilarious novels from Avon/HarperCollins including A LITTLE HELP FROM ABOVE, CLAIRE VOYANT, FATE AND MS. FORTUNE and DEAR NEIGHBOR, DROP DEAD. She is at work on her debut for younger readers, A LOT ON HER PLATE and is also at work on a new adult novel, WHEN WE COME BACK. She and her husband have three children, two grandchildren and a big mortgage."
9780060096311,
9780060096441,
9780060096625,
